id,time,temp
35,2004,6.48
39,2009,7.05
43,2013,7.63
48,2018,6.26
,,
,,
,,
,,
,,
,,
,,
,,
9,1978,4.91
11,1980,5.46
17,1986,6.04
25,1994,5.38
28,1997,6.57
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
49,2019,6.25
